LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"MO","MISSOURI","2909780","CLEVER R-V","00281","CLEVER ELEM.","290978000281","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2914250","DUNKLIN R-V","00641","PEVELY ELEM.","291425000641","DD",0,0,1,0,0,0,5,0,0,0,1,0,0,1,8,0,6,0,2,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0
"MO","MISSOURI","2926220","REPUBLIC R-III","03173","LYON ELEMENTARY","292622003173","DD",0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,4,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2926220","REPUBLIC R-III","03234","SWEENY ELEMENTARY","292622003234","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2921540","MOUNTAIN VIEW-BIRCH TREE R-III","01187","MOUNTAIN VIEW ELEM.","292154001187","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,3,0,4,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","00235","JOSEPH L. MUDD ELEM.","290837000235","DD",0,0,0,1,0,0,5,0,0,1,0,0,0,0,7,0,6,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0
"MO","MISSOURI","2918240","WEST ST. FRANCOIS CO. R-IV","00965","WEST COUNTY ELEM.","291824000965","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2929760","SULLIVAN","02805","SULLIVAN PRIMARY","292976002805","DD",0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","02369","HAWTHORN ELEM.","290837002369","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0
"MO","MISSOURI","2910440","DADEVILLE R-II","00344","Dadeville R-II School","291044000344","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2920810","MEXICO 59","01134","MCMILLAN EARLY LEARNING CENTER","292081001134","DD",0,0,0,0,1,0,2,0,0,0,1,1,0,3,8,0,3,0,5,0,0,0,1,1,1,0,0,0,0,0,2,1,2,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","00237","MOUNT HOPE ELEM.","290837000237","DD",0,0,0,0,0,0,4,0,0,0,1,0,0,1,6,0,4,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2916290","JENNINGS","00770","WOODLAND ELEM.","291629000770","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","02038","MID RIVERS ELEM.","290837002038","DD",0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2921540","MOUNTAIN VIEW-BIRCH TREE R-III","01184","BIRCH TREE ELEM.","292154001184","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","02697","PHEASANT POINT ELEM.","290837002697","DD",0,0,0,0,1,0,8,0,0,0,0,0,0,3,12,0,9,0,3,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0
"MO","MISSOURI","2920810","MEXICO 59","01133","HAWTHORNE ELEM.","292081001133","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2917820","LADUE","00947","OLD BONHOMME ELEM.","291782000947","DD",0,0,3,0,1,0,2,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2917820","LADUE","00950","SPOEDE ELEM.","291782000950","DD",0,0,1,1,1,0,1,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2908370","FT. ZUMWALT R-II","01883","ROCK CREEK ELEM.","290837001883","DD",0,0,2,0,1,0,6,0,0,0,1,0,0,0,10,0,9,1,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2910410","CRAWFORD CO. R-II","00342","CUBA ELEM.","291041000342","DD",0,0,0,0,0,0,5,0,0,0,0,0,0,4,9,0,5,0,4,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,0
